title,release_date,genre,director,budget,domestic_revenue,international_revenue,worldwide_revenue,runtime,MPAA_rating
The Death of Dick Long,9/27/2019,"Drama, Comedy, Crime",Daniel Scheinert,,36856,,36856,100,R
The Disaster Artist,12/1/2017,"Comedy, Drama, Biographical",James Franco,10000000,21120616,8700000,29820616,104,R
The End of the Tour,7/31/2015,Drama,James Ponsoldt,,3002884,70107,3072991,106,R
The Exception,6/2/2017,"Romance, War",David Leveaux,,708973,163832,872805,107,R
The Farewell,7/28/2019,"Drama, Comedy",Lulu Wang,3000000,17695781,5380876,23076657,100,PG
The Florida Project,10/6/2017,"Drama, Coming-of-age",Sean Baker,2000000,5904366,5050311,10954677,111,R
The Green Knight,7/30/2021,"Adventure, Fantasy, Medieval",David Lowery,15000000,17173321,1715097,18888418,130,R
The Hole in the Ground,3/1/2019,"Horror, Thriller, Supernatural",Lee Cronin,75000000,21072,3352402,3373474,90,R
The Humans,11/24/2021,Drama,Stephen Karam,,,19787,19787,108,R
The Kill Team,10/22/2019,"Drama, War",Dan Krauss,,,415772,415772,87,R
The Killing of a Sacred Deer,10/20/2017,"Horror, Thriller, Psychological",Yorgos Lanthimos,,2291901,4735435,7027336,121,R
The Last Black Man in San Francisco,6/7/2019,Drama,Joe Talbot,2000000,4515719,122111,4637830,121,R
The Last Movie Star,3/30/2018,"Drama, Comedy",Adam Rifkin,,14410,,14410,94,R
The Lighthouse,10/18/2019,"Horror, Thriller, B/W",Robert Eggers,11000000,10867104,7283131,18150235,109,R
The Lobster,5/13/2016,"Comedy, Dystopian",Yorgos Lanthimos,4000000,9077245,6432301,15509546,119,R
The Lovers,5/5/2017,"Romance, Comedy",Azazel Jacobs,,2194521,21562,2216083,97,R
The Monster,11/11/2016,"Horror, Drama",Bryan Bertino,3000000,12544,62156,74700,91,R
The Rover,6/13/2014,"Western, Drama, Dystopian",David Michôd,8500000,1114423,1395584,2510007,103,R
The Sea of Trees,8/26/2016,"Drama, Mystery",Gus Van Sant,25000000,20444,886551,906995,110,PG-13
The Sky is Everywhere,2/11/2022,"Drama, Romance, Coming-of-age",Josephine Decker,,,,,103,PG-13
The Souvenir,5/17/2019,"Drama, Romance",Joanna Hogg,,1036737,740749,1777486,120,R
The Souvenir Part II,10/29/2021,"Drama, Romance",Joanna Hogg,,98929,281849,380778,107,R
The Spectacular Now,8/2/2013,"Drama, Romance, Coming-of-age",James Ponsoldt,2500000,6854611,63980,6918591,95,R
The Tragedy of Macbeth,12/25/2021,"Thriller, Drama, Historical, B/W",Joel Coen,2400000,,524771,524771,105,R
The Vanishing of Sidney Hall,3/2/2018,"Mystery, Drama",Shawn Christensen,,,,,117,R
The Witch,2/19/2016,"Horror, Folk",Robert Eggers,4000000,25138705,15285240,40423945,92,R
Trespass Against Us,1/1/2017,"Crime, Drama",Adam Smith,,5711,511486,517197,99,R
Tusk,9/19/2014,"Horror, Comedy",Kevin Smith,3000000,1826705,55369,1882074,102,R
Uncut Gems,12/13/2019,"Crime, Thriller","Josh Safdie, Benny Safdie",19000000,50023780,,50023780,135,R
Under the Silver Lake,4/18/2019,"Mystery, Comedy",David Robert Mitchell,8000000,46083,2007386,2053469,139,R
Under the Skin,4/4/2014,"Sci-Fi, Drama",Jonathan Glazer,13300000,2614251,3252138,5866389,108,R
Val,7/23/2021,"Documentary, Biographical","Leo Scott, Ting Poo",,,,,109,R
Waves,11/15/2019,"Drama, Romance",Trey Edward Shults,6000000,1658790,918200,2576990,135,R
While We're Young,3/27/2015,"Comedy, Drama",Noah Baumbach,10000000,7587485,10530354,18117839,97,R
Woman Walks Ahead,6/27/2018,"Drama, Biographical, Western",Susanna White,5000000,57528,23384,80912,101,R
Woodshock,9/22/2017,"Thriller, Drama, Psychological","Kate Mulleavy, Laura Mulleavy",5000000,42603,1079,43682,100,R
X,3/18/2022,"Horror, Slasher",Ti West,1000000,11765309,2711286,14476595,105,R
Zola,6/30/2021,"Comedy, Drama, Crime",Janicza Bravo,5000000,4844399,153698,4998097,86,R
