"title","release_date","genre","director","budget","domestic_revenue","international_revenue","worldwide_revenue","runtime","mpaa_rating","oscar_win"
The Children Act,2018-09-14,Drama,Richard Eyre,,547750,17149044,17696794,105,R,NO
The Death of Dick Long,2019-09-27,"Drama, Comedy, Crime",Daniel Scheinert,,36856,,36856,100,R,NO
The Disaster Artist,2017-12-01,"Comedy, Drama, Biographical",James Franco,10000000,21120616,8700000,29820616,104,R,NO
The End of the Tour,2015-07-31,Drama,James Ponsoldt,,3002884,70107,3072991,106,R,NO
The Exception,2017-06-02,"Romance, War",David Leveaux,,708973,163832,872805,107,R,NO
The Farewell,2019-07-28,"Drama, Comedy",Lulu Wang,3000000,17695781,5380876,23076657,100,PG,NO
The Florida Project,2017-10-06,"Drama, Coming-of-age",Sean Baker,2000000,5904366,5050311,10954677,111,R,NO
The Green Knight,2021-07-30,"Adventure, Fantasy, Medieval",David Lowery,15000000,17173321,1715097,18888418,130,R,NO
The Hole in the Ground,2019-03-01,"Horror, Thriller, Supernatural",Lee Cronin,75000000,21072,3352402,3373474,90,R,NO
The Humans,2021-11-24,Drama,Stephen Karam,,,19787,19787,108,R,NO
The Kill Team,2019-10-22,"Drama, War",Dan Krauss,,,415772,415772,87,R,NO
The Killing of a Sacred Deer,2017-10-20,"Horror, Thriller, Psychological",Yorgos Lanthimos,,2291901,4735435,7027336,121,R,NO
The Last Black Man in San Francisco,2019-06-07,Drama,Joe Talbot,2000000,4515719,122111,4637830,121,R,NO
The Last Movie Star,2018-03-30,"Drama, Comedy",Adam Rifkin,,14410,,14410,94,R,NO
The Lighthouse,2019-10-18,"Horror, Thriller, B/W",Robert Eggers,11000000,10867104,7283131,18150235,109,R,NO
The Lobster,2016-05-13,"Comedy, Dystopian",Yorgos Lanthimos,4000000,9077245,6432301,15509546,119,R,NO
The Lovers,2017-05-05,"Romance, Comedy",Azazel Jacobs,,2194521,21562,2216083,97,R,NO
The Monster,2016-11-11,"Horror, Drama",Bryan Bertino,3000000,12544,62156,74700,91,R,NO
The Rover,2014-06-13,"Western, Drama, Dystopian",David Michôd,8500000,1114423,1395584,2510007,103,R,NO
The Sea of Trees,2016-08-26,"Drama, Mystery",Gus Van Sant,25000000,20444,886551,906995,110,PG-13,NO
The Sky is Everywhere,2022-02-11,"Drama, Romance, Coming-of-age",Josephine Decker,,,,,103,PG-13,NO
The Souvenir,2019-05-17,"Drama, Romance",Joanna Hogg,,1036737,740749,1777486,120,R,NO
The Souvenir Part II,2021-10-29,"Drama, Romance",Joanna Hogg,,98929,281849,380778,107,R,NO
The Spectacular Now,2013-08-02,"Drama, Romance, Coming-of-age",James Ponsoldt,2500000,6854611,63980,6918591,95,R,NO
The Tragedy of Macbeth,2021-12-25,"Thriller, Drama, Historical, B/W",Joel Coen,2400000,,524771,524771,105,R,NO
The Vanishing of Sidney Hall,2018-03-02,"Mystery, Drama",Shawn Christensen,,,,,117,R,NO
The Witch,2016-02-19,"Horror, Folk",Robert Eggers,4000000,25138705,15285240,40423945,92,R,NO
Trespass Against Us,2017-01-01,"Crime, Drama",Adam Smith,,5711,511486,517197,99,R,NO
Tusk,2014-09-19,"Horror, Comedy",Kevin Smith,3000000,1826705,55369,1882074,102,R,NO
Uncut Gems,2019-12-13,"Crime, Thriller","Josh Safdie, Benny Safdie",19000000,50023780,,50023780,135,R,NO
Under the Silver Lake,2019-04-18,"Mystery, Comedy",David Robert Mitchell,8000000,46083,2007386,2053469,139,R,NO
Under the Skin,2014-04-04,"Sci-Fi, Drama",Jonathan Glazer,13300000,2614251,3252138,5866389,108,R,NO
Val,2021-07-23,"Documentary, Biographical","Leo Scott, Ting Poo",,,,,109,R,NO
Waves,2019-11-15,"Drama, Romance",Trey Edward Shults,6000000,1658790,918200,2576990,135,R,NO
While We're Young,2015-03-27,"Comedy, Drama",Noah Baumbach,10000000,7587485,10530354,18117839,97,R,NO
Woman Walks Ahead,2018-06-27,"Drama, Biographical, Western",Susanna White,5000000,57528,23384,80912,101,R,NO
Woodshock,2017-09-22,"Thriller, Drama, Psychological","Kate Mulleavy, Laura Mulleavy",5000000,42603,1079,43682,100,R,NO
X,2022-03-18,"Horror, Slasher",Ti West,1000000,11765309,2711286,14476595,105,R,NO
Zola,2021-06-30,"Comedy, Drama, Crime",Janicza Bravo,5000000,4844399,153698,4998097,86,R,NO
